Id,Store,DayOfWeek,Date,Open,Promo,StateHoliday,SchoolHoliday,ds,predicted_Sales,predicted_Customers
1,1,4,2015-09-17,1,1,0,0,2015-09-17,4227,508
2,3,4,2015-09-17,1,1,0,0,2015-09-17,7590,816
3,7,4,2015-09-17,1,1,0,0,2015-09-17,8920,963
4,8,4,2015-09-17,1,1,0,0,2015-09-17,6739,833
5,9,4,2015-09-17,1,1,0,0,2015-09-17,6315,579
6,10,4,2015-09-17,1,1,0,0,2015-09-17,5647,611
7,11,4,2015-09-17,1,1,0,0,2015-09-17,7791,1149
8,12,4,2015-09-17,1,1,0,0,2015-09-17,7826,932
9,13,4,2015-09-17,1,1,0,0,2015-09-17,5145,392
10,14,4,2015-09-17,1,1,0,0,2015-09-17,5689,649
11,15,4,2015-09-17,1,1,0,0,2015-09-17,6501,666
12,16,4,2015-09-17,1,1,0,0,2015-09-17,7888,933
13,19,4,2015-09-17,1,1,0,0,2015-09-17,6938,662
14,20,4,2015-09-17,1,1,0,0,2015-09-17,7638,946
15,21,4,2015-09-17,1,1,0,0,2015-09-17,5704,543
16,22,4,2015-09-17,1,1,0,0,2015-09-17,4693,518
17,23,4,2015-09-17,1,1,0,0,2015-09-17,5722,500
18,24,4,2015-09-17,1,1,0,0,2015-09-17,9329,831
19,25,4,2015-09-17,1,1,0,0,2015-09-17,10843,1597
20,27,4,2015-09-17,1,1,0,0,2015-09-17,10106,1116
21,29,4,2015-09-17,1,1,0,0,2015-09-17,7125,648
22,30,4,2015-09-17,1,1,0,0,2015-09-17,5790,839
23,31,4,2015-09-17,1,1,0,0,2015-09-17,5604,572
24,32,4,2015-09-17,1,1,0,0,2015-09-17,4049,469
25,33,4,2015-09-17,1,1,0,0,2015-09-17,7626,795
26,35,4,2015-09-17,1,1,0,0,2015-09-17,10351,764
27,36,4,2015-09-17,1,1,0,0,2015-09-17,9168,1107
28,38,4,2015-09-17,1,1,0,0,2015-09-17,5771,515
29,39,4,2015-09-17,1,1,0,0,2015-09-17,4979,625
30,40,4,2015-09-17,1,1,0,0,2015-09-17,4916,684
31,41,4,2015-09-17,1,1,0,0,2015-09-17,5535,391
32,42,4,2015-09-17,1,1,0,0,2015-09-17,10274,1098
33,43,4,2015-09-17,1,1,0,0,2015-09-17,7314,642
34,45,4,2015-09-17,1,1,0,0,2015-09-17,5292,418
35,46,4,2015-09-17,1,1,0,0,2015-09-17,5462,668
36,47,4,2015-09-17,1,1,0,0,2015-09-17,7352,936
37,48,4,2015-09-17,1,1,0,0,2015-09-17,3976,419
38,49,4,2015-09-17,1,1,0,0,2015-09-17,7091,542
39,50,4,2015-09-17,1,1,0,0,2015-09-17,4279,359
40,51,4,2015-09-17,1,1,0,0,2015-09-17,6815,541
41,52,4,2015-09-17,1,1,0,0,2015-09-17,8523,562
42,53,4,2015-09-17,1,1,0,0,2015-09-17,5311,577
43,56,4,2015-09-17,1,1,0,0,2015-09-17,7030,511
44,58,4,2015-09-17,1,1,0,0,2015-09-17,6438,521
45,61,4,2015-09-17,1,1,0,0,2015-09-17,4506,520
46,62,4,2015-09-17,1,1,0,0,2015-09-17,6330,742
47,63,4,2015-09-17,1,1,0,0,2015-09-17,6892,623
48,64,4,2015-09-17,1,1,0,0,2015-09-17,11345,861
49,66,4,2015-09-17,1,1,0,0,2015-09-17,5870,505
50,67,4,2015-09-17,1,1,0,0,2015-09-17,7848,836
51,68,4,2015-09-17,1,1,0,0,2015-09-17,6566,1058
52,69,4,2015-09-17,1,1,0,0,2015-09-17,9496,1167
53,70,4,2015-09-17,1,1,0,0,2015-09-17,6298,661
54,71,4,2015-09-17,1,1,0,0,2015-09-17,9469,771
55,72,4,2015-09-17,1,1,0,0,2015-09-17,4728,503
56,73,4,2015-09-17,1,1,0,0,2015-09-17,4814,533
57,74,4,2015-09-17,1,1,0,0,2015-09-17,6199,871
58,75,4,2015-09-17,1,1,0,0,2015-09-17,5613,625
59,76,4,2015-09-17,1,1,0,0,2015-09-17,9082,925
60,77,4,2015-09-17,1,1,0,0,2015-09-17,7644,683
61,79,4,2015-09-17,1,1,0,0,2015-09-17,5432,566
62,80,4,2015-09-17,1,1,0,0,2015-09-17,7516,570
63,81,4,2015-09-17,1,1,0,0,2015-09-17,6106,508
64,82,4,2015-09-17,1,1,0,0,2015-09-17,10033,927
65,83,4,2015-09-17,1,1,0,0,2015-09-17,3986,337
66,84,4,2015-09-17,1,1,0,0,2015-09-17,12572,1382
67,86,4,2015-09-17,1,1,0,0,2015-09-17,5057,635
68,89,4,2015-09-17,1,1,0,0,2015-09-17,5872,646
69,90,4,2015-09-17,1,1,0,0,2015-09-17,8317,1027
70,91,4,2015-09-17,1,1,0,0,2015-09-17,5518,620
71,92,4,2015-09-17,1,1,0,0,2015-09-17,6003,546
72,93,4,2015-09-17,1,1,0,0,2015-09-17,6398,628
73,94,4,2015-09-17,1,1,0,0,2015-09-17,7519,681
74,98,4,2015-09-17,1,1,0,0,2015-09-17,5347,469
75,99,4,2015-09-17,1,1,0,0,2015-09-17,5270,494
76,100,4,2015-09-17,1,1,0,0,2015-09-17,7192,631
77,101,4,2015-09-17,1,1,0,0,2015-09-17,7512,778
78,102,4,2015-09-17,1,1,0,0,2015-09-17,7080,1060
79,105,4,2015-09-17,1,1,0,0,2015-09-17,4774,616
80,107,4,2015-09-17,1,1,0,0,2015-09-17,6831,928
81,108,4,2015-09-17,1,1,0,0,2015-09-17,10651,820
82,109,4,2015-09-17,1,1,0,0,2015-09-17,6244,740
83,110,4,2015-09-17,1,1,0,0,2015-09-17,4319,599
84,111,4,2015-09-17,1,1,0,0,2015-09-17,6894,596
85,112,4,2015-09-17,1,1,0,0,2015-09-17,5883,738
86,113,4,2015-09-17,1,1,0,0,2015-09-17,7663,720
87,115,4,2015-09-17,1,1,0,0,2015-09-17,6983,519
88,117,4,2015-09-17,1,1,0,0,2015-09-17,3992,516
89,118,4,2015-09-17,1,1,0,0,2015-09-17,7658,671
90,119,4,2015-09-17,1,1,0,0,2015-09-17,5821,676
91,120,4,2015-09-17,1,1,0,0,2015-09-17,7228,639
92,122,4,2015-09-17,1,1,0,0,2015-09-17,6579,846
93,124,4,2015-09-17,1,1,0,0,2015-09-17,3919,483
94,126,4,2015-09-17,1,1,0,0,2015-09-17,8425,553
95,127,4,2015-09-17,1,1,0,0,2015-09-17,5285,659
96,128,4,2015-09-17,1,1,0,0,2015-09-17,7507,618
97,129,4,2015-09-17,1,1,0,0,2015-09-17,9012,1133
98,130,4,2015-09-17,1,1,0,0,2015-09-17,5162,569
99,131,4,2015-09-17,1,1,0,0,2015-09-17,5260,558
100,132,4,2015-09-17,1,1,0,0,2015-09-17,6426,601
101,135,4,2015-09-17,1,1,0,0,2015-09-17,5819,530
102,136,4,2015-09-17,1,1,0,0,2015-09-17,6137,476
103,137,4,2015-09-17,1,1,0,0,2015-09-17,7727,934
104,139,4,2015-09-17,1,1,0,0,2015-09-17,6824,559
105,140,4,2015-09-17,1,1,0,0,2015-09-17,7398,979
106,141,4,2015-09-17,1,1,0,0,2015-09-17,5725,629
107,142,4,2015-09-17,1,1,0,0,2015-09-17,4286,545
108,143,4,2015-09-17,1,1,0,0,2015-09-17,7023,631
109,144,4,2015-09-17,1,1,0,0,2015-09-17,8919,856
110,145,4,2015-09-17,1,1,0,0,2015-09-17,9041,1405
111,146,4,2015-09-17,1,1,0,0,2015-09-17,8129,717
112,147,4,2015-09-17,1,1,0,0,2015-09-17,7948,825
113,149,4,2015-09-17,1,1,0,0,2015-09-17,5775,494
114,150,4,2015-09-17,1,1,0,0,2015-09-17,8275,807
115,152,4,2015-09-17,1,1,0,0,2015-09-17,5540,618
116,153,4,2015-09-17,1,1,0,0,2015-09-17,8227,715
117,154,4,2015-09-17,1,1,0,0,2015-09-17,9038,776
118,155,4,2015-09-17,1,1,0,0,2015-09-17,6255,602
119,157,4,2015-09-17,1,1,0,0,2015-09-17,10077,1033
120,158,4,2015-09-17,1,1,0,0,2015-09-17,7661,482
121,159,4,2015-09-17,1,1,0,0,2015-09-17,7894,688
122,160,4,2015-09-17,1,1,0,0,2015-09-17,6227,594
123,161,4,2015-09-17,1,1,0,0,2015-09-17,6882,799
124,162,4,2015-09-17,1,1,0,0,2015-09-17,8101,564
